# conv_wav	tgt_wav	sample_id	system	pair
audio/conv/lb4/jvs091_jvs096_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs091_jvs096_VA091	lb4	jvs091-jvs096
audio/conv/lb16/jvs091_jvs096_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs091_jvs096_VA091	lb16	jvs091-jvs096
audio/conv/lb64/jvs091_jvs096_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs091_jvs096_VA091	lb64	jvs091-jvs096
audio/conv/lb256/jvs091_jvs096_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs091_jvs096_VA091	lb256	jvs091-jvs096
audio/conv/noncausal/jvs091_jvs097_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs091_jvs097_VA092	noncausal	jvs091-jvs097
audio/conv/la0/jvs091_jvs097_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs091_jvs097_VA092	la0	jvs091-jvs097
audio/conv/la1/jvs091_jvs097_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs091_jvs097_VA092	la1	jvs091-jvs097
audio/conv/la2/jvs091_jvs097_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs091_jvs097_VA092	la2	jvs091-jvs097
audio/conv/la4/jvs091_jvs098_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs091_jvs098_VA093	la4	jvs091-jvs098
audio/conv/la8/jvs091_jvs098_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs091_jvs098_VA093	la8	jvs091-jvs098
audio/conv/lb0/jvs091_jvs098_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs091_jvs098_VA093	lb0	jvs091-jvs098
audio/conv/lb1/jvs091_jvs098_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs091_jvs098_VA093	lb1	jvs091-jvs098
audio/conv/lb4/jvs091_jvs099_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs091_jvs099_VA094	lb4	jvs091-jvs099
audio/conv/lb16/jvs091_jvs099_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs091_jvs099_VA094	lb16	jvs091-jvs099
audio/conv/lb64/jvs091_jvs099_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs091_jvs099_VA094	lb64	jvs091-jvs099
audio/conv/lb256/jvs091_jvs099_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs091_jvs099_VA094	lb256	jvs091-jvs099
audio/conv/noncausal/jvs092_jvs096_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs092_jvs096_VA095	noncausal	jvs092-jvs096
audio/conv/la0/jvs092_jvs096_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs092_jvs096_VA095	la0	jvs092-jvs096
audio/conv/la1/jvs092_jvs096_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs092_jvs096_VA095	la1	jvs092-jvs096
audio/conv/la2/jvs092_jvs096_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs092_jvs096_VA095	la2	jvs092-jvs096
audio/conv/la4/jvs092_jvs097_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs092_jvs097_VA096	la4	jvs092-jvs097
audio/conv/la8/jvs092_jvs097_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs092_jvs097_VA096	la8	jvs092-jvs097
